player1;player2;winner;score
1;36;1;{'player_1': 2, 'player_2': 1}
42;85;42;{'player_1': 2, 'player_2': 1}
44;63;44;{'player_1': 2, 'player_2': 1}
59;99;99;{'player_1': 1, 'player_2': 2}
11;16;11;{'player_1': 2, 'player_2': 1}
99;4;99;{'player_1': 2, 'player_2': 1}
76;68;76;{'player_1': 2, 'player_2': 1}
53;35;35;{'player_1': 0, 'player_2': 2}
56;10;10;{'player_1': 0, 'player_2': 2}
16;18;16;{'player_1': 2, 'player_2': 1}
69;21;21;{'player_1': 0, 'player_2': 2}
51;70;70;{'player_1': 0, 'player_2': 2}
70;25;25;{'player_1': 1, 'player_2': 2}
29;46;46;{'player_1': 0, 'player_2': 2}
93;28;93;{'player_1': 2, 'player_2': 0}
23;68;23;{'player_1': 2, 'player_2': 1}
45;59;59;{'player_1': 1, 'player_2': 2}
38;60;38;{'player_1': 2, 'player_2': 0}
84;78;84;{'player_1': 2, 'player_2': 0}
62;40;62;{'player_1': 2, 'player_2': 0}
16;57;16;{'player_1': 2, 'player_2': 0}
8;12;12;{'player_1': 1, 'player_2': 2}
60;49;60;{'player_1': 2, 'player_2': 1}
81;15;81;{'player_1': 2, 'player_2': 1}
64;43;43;{'player_1': 1, 'player_2': 2}
69;34;69;{'player_1': 2, 'player_2': 1}
87;2;87;{'player_1': 2, 'player_2': 0}
8;91;91;{'player_1': 1, 'player_2': 2}
15;19;15;{'player_1': 2, 'player_2': 0}
57;13;57;{'player_1': 2, 'player_2': 1}
21;26;21;{'player_1': 2, 'player_2': 1}
49;27;27;{'player_1': 1, 'player_2': 2}
84;57;84;{'player_1': 2, 'player_2': 1}
5;10;5;{'player_1': 2, 'player_2': 0}
82;97;97;{'player_1': 0, 'player_2': 2}
46;54;54;{'player_1': 1, 'player_2': 2}
86;93;86;{'player_1': 2, 'player_2': 1}
22;69;22;{'player_1': 2, 'player_2': 1}
44;6;6;{'player_1': 1, 'player_2': 2}
7;66;7;{'player_1': 2, 'player_2': 1}
96;26;96;{'player_1': 2, 'player_2': 1}
81;95;81;{'player_1': 2, 'player_2': 1}
75;37;37;{'player_1': 0, 'player_2': 2}
4;14;14;{'player_1': 1, 'player_2': 2}
19;26;19;{'player_1': 2, 'player_2': 1}
33;16;16;{'player_1': 0, 'player_2': 2}
91;69;91;{'player_1': 2, 'player_2': 1}
38;99;38;{'player_1': 2, 'player_2': 1}
67;78;78;{'player_1': 1, 'player_2': 2}
38;66;38;{'player_1': 2, 'player_2': 0}
42;62;42;{'player_1': 2, 'player_2': 1}
8;99;8;{'player_1': 2, 'player_2': 0}
16;3;16;{'player_1': 2, 'player_2': 1}
50;24;24;{'player_1': 1, 'player_2': 2}
56;24;24;{'player_1': 0, 'player_2': 2}
66;58;66;{'player_1': 2, 'player_2': 1}
34;24;34;{'player_1': 2, 'player_2': 0}
90;36;90;{'player_1': 2, 'player_2': 1}
3;55;3;{'player_1': 2, 'player_2': 0}
52;96;96;{'player_1': 1, 'player_2': 2}
66;72;72;{'player_1': 0, 'player_2': 2}
77;97;97;{'player_1': 1, 'player_2': 2}
20;54;54;{'player_1': 0, 'player_2': 2}
80;30;30;{'player_1': 1, 'player_2': 2}
76;23;23;{'player_1': 0, 'player_2': 2}
46;74;74;{'player_1': 1, 'player_2': 2}
80;75;75;{'player_1': 1, 'player_2': 2}
99;40;99;{'player_1': 2, 'player_2': 0}
32;98;32;{'player_1': 2, 'player_2': 0}
92;14;14;{'player_1': 0, 'player_2': 2}
20;58;58;{'player_1': 1, 'player_2': 2}
18;89;18;{'player_1': 2, 'player_2': 0}
3;66;3;{'player_1': 2, 'player_2': 1}
3;30;3;{'player_1': 2, 'player_2': 1}
85;9;85;{'player_1': 2, 'player_2': 1}
93;39;39;{'player_1': 1, 'player_2': 2}
66;100;66;{'player_1': 2, 'player_2': 0}
80;35;35;{'player_1': 0, 'player_2': 2}
56;63;63;{'player_1': 1, 'player_2': 2}
44;84;84;{'player_1': 0, 'player_2': 2}
14;79;79;{'player_1': 0, 'player_2': 2}
3;81;81;{'player_1': 1, 'player_2': 2}
69;63;63;{'player_1': 0, 'player_2': 2}
89;65;65;{'player_1': 0, 'player_2': 2}
27;73;73;{'player_1': 1, 'player_2': 2}
63;69;63;{'player_1': 2, 'player_2': 1}
5;97;5;{'player_1': 2, 'player_2': 0}
55;79;55;{'player_1': 2, 'player_2': 0}
36;91;91;{'player_1': 0, 'player_2': 2}
57;83;83;{'player_1': 0, 'player_2': 2}
40;15;40;{'player_1': 2, 'player_2': 1}
44;16;44;{'player_1': 2, 'player_2': 0}
82;54;54;{'player_1': 1, 'player_2': 2}
56;72;72;{'player_1': 0, 'player_2': 2}
22;88;22;{'player_1': 2, 'player_2': 0}
98;57;98;{'player_1': 2, 'player_2': 1}
62;40;40;{'player_1': 1, 'player_2': 2}
84;69;84;{'player_1': 2, 'player_2': 0}
1;57;57;{'player_1': 1, 'player_2': 2}
86;83;83;{'player_1': 1, 'player_2': 2}
12;47;12;{'player_1': 2, 'player_2': 1}
84;40;40;{'player_1': 0, 'player_2': 2}
68;18;68;{'player_1': 2, 'player_2': 0}
55;99;55;{'player_1': 2, 'player_2': 0}
30;70;30;{'player_1': 2, 'player_2': 0}
23;20;23;{'player_1': 2, 'player_2': 1}
15;81;81;{'player_1': 0, 'player_2': 2}
53;76;76;{'player_1': 1, 'player_2': 2}
61;15;15;{'player_1': 1, 'player_2': 2}
44;97;44;{'player_1': 2, 'player_2': 1}
20;12;20;{'player_1': 2, 'player_2': 1}
27;14;14;{'player_1': 1, 'player_2': 2}
81;72;81;{'player_1': 2, 'player_2': 0}
11;70;70;{'player_1': 1, 'player_2': 2}
30;11;11;{'player_1': 1, 'player_2': 2}
9;66;66;{'player_1': 1, 'player_2': 2}
25;83;83;{'player_1': 1, 'player_2': 2}
15;10;15;{'player_1': 2, 'player_2': 0}
13;58;58;{'player_1': 1, 'player_2': 2}
60;61;61;{'player_1': 1, 'player_2': 2}
93;45;93;{'player_1': 2, 'player_2': 0}
86;91;91;{'player_1': 0, 'player_2': 2}
1;41;41;{'player_1': 0, 'player_2': 2}
52;1;52;{'player_1': 2, 'player_2': 1}
18;28;28;{'player_1': 1, 'player_2': 2}
65;32;32;{'player_1': 0, 'player_2': 2}
69;43;69;{'player_1': 2, 'player_2': 1}
62;68;68;{'player_1': 0, 'player_2': 2}
51;82;51;{'player_1': 2, 'player_2': 0}
58;4;4;{'player_1': 0, 'player_2': 2}
25;73;25;{'player_1': 2, 'player_2': 1}
71;78;71;{'player_1': 2, 'player_2': 1}
52;99;99;{'player_1': 0, 'player_2': 2}
68;23;68;{'player_1': 2, 'player_2': 0}
59;66;66;{'player_1': 1, 'player_2': 2}
69;28;28;{'player_1': 1, 'player_2': 2}
38;72;72;{'player_1': 1, 'player_2': 2}
68;44;68;{'player_1': 2, 'player_2': 1}
26;13;26;{'player_1': 2, 'player_2': 1}
47;79;79;{'player_1': 0, 'player_2': 2}
83;14;83;{'player_1': 2, 'player_2': 1}
66;35;66;{'player_1': 2, 'player_2': 0}
95;49;95;{'player_1': 2, 'player_2': 1}
75;51;75;{'player_1': 2, 'player_2': 1}
39;35;35;{'player_1': 0, 'player_2': 2}
57;20;20;{'player_1': 0, 'player_2': 2}
73;55;55;{'player_1': 1, 'player_2': 2}
46;38;38;{'player_1': 1, 'player_2': 2}
58;23;23;{'player_1': 0, 'player_2': 2}
6;82;6;{'player_1': 2, 'player_2': 0}
67;96;96;{'player_1': 1, 'player_2': 2}
97;44;97;{'player_1': 2, 'player_2': 1}
31;6;31;{'player_1': 2, 'player_2': 1}
13;83;83;{'player_1': 0, 'player_2': 2}
52;73;73;{'player_1': 0, 'player_2': 2}
91;2;2;{'player_1': 0, 'player_2': 2}
49;8;49;{'player_1': 2, 'player_2': 1}
8;83;8;{'player_1': 2, 'player_2': 1}
32;13;13;{'player_1': 0, 'player_2': 2}
87;6;87;{'player_1': 2, 'player_2': 0}
91;70;70;{'player_1': 0, 'player_2': 2}
25;96;96;{'player_1': 0, 'player_2': 2}
34;58;58;{'player_1': 1, 'player_2': 2}
15;81;81;{'player_1': 0, 'player_2': 2}
82;4;4;{'player_1': 0, 'player_2': 2}
69;74;74;{'player_1': 1, 'player_2': 2}
79;72;72;{'player_1': 1, 'player_2': 2}
63;10;10;{'player_1': 1, 'player_2': 2}
56;54;56;{'player_1': 2, 'player_2': 0}
13;11;11;{'player_1': 0, 'player_2': 2}
96;84;84;{'player_1': 1, 'player_2': 2}
77;1;1;{'player_1': 1, 'player_2': 2}
95;69;69;{'player_1': 0, 'player_2': 2}
8;20;8;{'player_1': 2, 'player_2': 0}
36;66;66;{'player_1': 0, 'player_2': 2}
50;4;4;{'player_1': 0, 'player_2': 2}
20;11;11;{'player_1': 0, 'player_2': 2}
43;62;43;{'player_1': 2, 'player_2': 1}
99;18;99;{'player_1': 2, 'player_2': 1}
84;10;84;{'player_1': 2, 'player_2': 1}
1;7;1;{'player_1': 2, 'player_2': 0}
8;68;8;{'player_1': 2, 'player_2': 0}
35;11;11;{'player_1': 1, 'player_2': 2}
6;29;6;{'player_1': 2, 'player_2': 0}
83;21;83;{'player_1': 2, 'player_2': 1}
50;71;71;{'player_1': 1, 'player_2': 2}
51;23;23;{'player_1': 0, 'player_2': 2}
67;16;16;{'player_1': 0, 'player_2': 2}
98;77;98;{'player_1': 2, 'player_2': 1}
53;15;15;{'player_1': 0, 'player_2': 2}
2;79;2;{'player_1': 2, 'player_2': 0}
36;11;36;{'player_1': 2, 'player_2': 0}
3;79;3;{'player_1': 2, 'player_2': 1}
81;88;81;{'player_1': 2, 'player_2': 1}
80;10;10;{'player_1': 1, 'player_2': 2}
38;80;80;{'player_1': 1, 'player_2': 2}
27;60;60;{'player_1': 1, 'player_2': 2}
44;83;83;{'player_1': 0, 'player_2': 2}
85;37;85;{'player_1': 2, 'player_2': 0}
2;57;57;{'player_1': 0, 'player_2': 2}
58;21;21;{'player_1': 0, 'player_2': 2}
2;1;1;{'player_1': 1, 'player_2': 2}
29;22;22;{'player_1': 1, 'player_2': 2}
82;10;82;{'player_1': 2, 'player_2': 1}
24;5;5;{'player_1': 0, 'player_2': 2}
41;94;94;{'player_1': 1, 'player_2': 2}
26;38;38;{'player_1': 0, 'player_2': 2}
73;37;37;{'player_1': 1, 'player_2': 2}
20;29;29;{'player_1': 0, 'player_2': 2}
25;22;22;{'player_1': 0, 'player_2': 2}
53;71;53;{'player_1': 2, 'player_2': 1}
46;74;46;{'player_1': 2, 'player_2': 1}
88;38;88;{'player_1': 2, 'player_2': 0}
60;6;6;{'player_1': 1, 'player_2': 2}
26;90;26;{'player_1': 2, 'player_2': 0}
25;27;25;{'player_1': 2, 'player_2': 0}
81;76;76;{'player_1': 0, 'player_2': 2}
11;28;11;{'player_1': 2, 'player_2': 0}
30;80;30;{'player_1': 2, 'player_2': 0}
55;16;55;{'player_1': 2, 'player_2': 1}
32;59;32;{'player_1': 2, 'player_2': 0}
69;22;22;{'player_1': 1, 'player_2': 2}
66;50;50;{'player_1': 0, 'player_2': 2}
6;79;79;{'player_1': 1, 'player_2': 2}
90;64;64;{'player_1': 1, 'player_2': 2}
47;68;68;{'player_1': 0, 'player_2': 2}
66;62;66;{'player_1': 2, 'player_2': 0}
13;8;8;{'player_1': 1, 'player_2': 2}
53;73;53;{'player_1': 2, 'player_2': 1}
43;12;43;{'player_1': 2, 'player_2': 0}
60;71;60;{'player_1': 2, 'player_2': 1}
3;36;3;{'player_1': 2, 'player_2': 0}
87;31;31;{'player_1': 0, 'player_2': 2}
77;97;77;{'player_1': 2, 'player_2': 1}
83;43;43;{'player_1': 1, 'player_2': 2}
36;41;41;{'player_1': 0, 'player_2': 2}
34;13;13;{'player_1': 0, 'player_2': 2}
18;67;18;{'player_1': 2, 'player_2': 0}
82;8;8;{'player_1': 0, 'player_2': 2}
46;75;46;{'player_1': 2, 'player_2': 0}
50;19;19;{'player_1': 0, 'player_2': 2}
16;14;16;{'player_1': 2, 'player_2': 1}
71;53;71;{'player_1': 2, 'player_2': 0}
99;59;59;{'player_1': 1, 'player_2': 2}
20;48;48;{'player_1': 0, 'player_2': 2}
40;51;51;{'player_1': 0, 'player_2': 2}
57;12;57;{'player_1': 2, 'player_2': 0}
10;3;3;{'player_1': 1, 'player_2': 2}
62;71;71;{'player_1': 1, 'player_2': 2}
77;84;77;{'player_1': 2, 'player_2': 1}
15;11;11;{'player_1': 0, 'player_2': 2}
33;10;10;{'player_1': 0, 'player_2': 2}
20;67;67;{'player_1': 0, 'player_2': 2}
63;85;63;{'player_1': 2, 'player_2': 0}
27;8;27;{'player_1': 2, 'player_2': 1}
28;54;54;{'player_1': 0, 'player_2': 2}
46;41;46;{'player_1': 2, 'player_2': 0}
59;65;65;{'player_1': 0, 'player_2': 2}
58;57;57;{'player_1': 1, 'player_2': 2}
82;32;82;{'player_1': 2, 'player_2': 1}
63;78;63;{'player_1': 2, 'player_2': 0}
34;69;69;{'player_1': 0, 'player_2': 2}
74;100;100;{'player_1': 1, 'player_2': 2}
44;45;44;{'player_1': 2, 'player_2': 1}
80;2;2;{'player_1': 0, 'player_2': 2}
34;97;97;{'player_1': 1, 'player_2': 2}
81;65;65;{'player_1': 0, 'player_2': 2}
66;37;37;{'player_1': 0, 'player_2': 2}
90;84;90;{'player_1': 2, 'player_2': 1}
4;14;4;{'player_1': 2, 'player_2': 0}
47;81;47;{'player_1': 2, 'player_2': 1}
64;7;64;{'player_1': 2, 'player_2': 1}
61;100;61;{'player_1': 2, 'player_2': 1}
52;15;15;{'player_1': 0, 'player_2': 2}
5;55;55;{'player_1': 1, 'player_2': 2}
70;41;41;{'player_1': 0, 'player_2': 2}
25;18;18;{'player_1': 0, 'player_2': 2}
97;85;97;{'player_1': 2, 'player_2': 0}
26;34;34;{'player_1': 0, 'player_2': 2}
42;52;42;{'player_1': 2, 'player_2': 1}
76;8;8;{'player_1': 0, 'player_2': 2}
10;64;64;{'player_1': 1, 'player_2': 2}
30;100;100;{'player_1': 0, 'player_2': 2}
81;50;81;{'player_1': 2, 'player_2': 1}
71;76;76;{'player_1': 0, 'player_2': 2}
47;62;47;{'player_1': 2, 'player_2': 0}
84;39;39;{'player_1': 0, 'player_2': 2}
19;82;19;{'player_1': 2, 'player_2': 0}
25;4;25;{'player_1': 2, 'player_2': 0}
68;69;68;{'player_1': 2, 'player_2': 1}
70;34;70;{'player_1': 2, 'player_2': 0}
74;81;74;{'player_1': 2, 'player_2': 1}
6;78;6;{'player_1': 2, 'player_2': 0}
71;6;71;{'player_1': 2, 'player_2': 1}
55;75;55;{'player_1': 2, 'player_2': 0}
65;13;13;{'player_1': 1, 'player_2': 2}
76;97;97;{'player_1': 0, 'player_2': 2}
61;13;13;{'player_1': 1, 'player_2': 2}
29;4;4;{'player_1': 1, 'player_2': 2}
89;11;11;{'player_1': 1, 'player_2': 2}
44;37;37;{'player_1': 1, 'player_2': 2}
84;90;90;{'player_1': 0, 'player_2': 2}
53;42;42;{'player_1': 1, 'player_2': 2}
56;44;44;{'player_1': 1, 'player_2': 2}
13;14;13;{'player_1': 2, 'player_2': 0}
61;69;61;{'player_1': 2, 'player_2': 0}
16;22;16;{'player_1': 2, 'player_2': 0}
70;8;8;{'player_1': 0, 'player_2': 2}
45;53;53;{'player_1': 1, 'player_2': 2}
11;67;67;{'player_1': 1, 'player_2': 2}
89;87;87;{'player_1': 0, 'player_2': 2}
60;89;60;{'player_1': 2, 'player_2': 0}
49;66;49;{'player_1': 2, 'player_2': 0}
22;61;22;{'player_1': 2, 'player_2': 0}
31;81;31;{'player_1': 2, 'player_2': 1}
49;52;52;{'player_1': 1, 'player_2': 2}
92;76;92;{'player_1': 2, 'player_2': 1}
46;67;46;{'player_1': 2, 'player_2': 1}
61;93;93;{'player_1': 1, 'player_2': 2}
23;94;23;{'player_1': 2, 'player_2': 0}
65;6;6;{'player_1': 0, 'player_2': 2}
49;27;49;{'player_1': 2, 'player_2': 1}
35;20;20;{'player_1': 0, 'player_2': 2}
91;52;52;{'player_1': 0, 'player_2': 2}
64;65;64;{'player_1': 2, 'player_2': 1}
95;73;73;{'player_1': 1, 'player_2': 2}
8;63;63;{'player_1': 0, 'player_2': 2}
83;11;11;{'player_1': 1, 'player_2': 2}
63;54;63;{'player_1': 2, 'player_2': 1}
5;86;5;{'player_1': 2, 'player_2': 1}
85;15;85;{'player_1': 2, 'player_2': 0}
39;9;9;{'player_1': 0, 'player_2': 2}
71;48;48;{'player_1': 0, 'player_2': 2}
11;94;11;{'player_1': 2, 'player_2': 0}
68;98;68;{'player_1': 2, 'player_2': 0}
32;11;32;{'player_1': 2, 'player_2': 1}
88;26;26;{'player_1': 1, 'player_2': 2}
30;50;30;{'player_1': 2, 'player_2': 1}
76;89;76;{'player_1': 2, 'player_2': 1}
21;93;21;{'player_1': 2, 'player_2': 1}
91;72;91;{'player_1': 2, 'player_2': 1}
64;48;64;{'player_1': 2, 'player_2': 1}
48;12;12;{'player_1': 0, 'player_2': 2}
13;95;95;{'player_1': 1, 'player_2': 2}
78;43;43;{'player_1': 0, 'player_2': 2}
11;75;75;{'player_1': 0, 'player_2': 2}
89;15;89;{'player_1': 2, 'player_2': 0}
54;3;3;{'player_1': 0, 'player_2': 2}
66;49;66;{'player_1': 2, 'player_2': 1}
32;64;64;{'player_1': 0, 'player_2': 2}
11;94;94;{'player_1': 1, 'player_2': 2}
9;90;90;{'player_1': 0, 'player_2': 2}
4;26;4;{'player_1': 2, 'player_2': 0}
43;2;43;{'player_1': 2, 'player_2': 1}
2;65;65;{'player_1': 0, 'player_2': 2}
33;31;31;{'player_1': 1, 'player_2': 2}
89;24;89;{'player_1': 2, 'player_2': 1}
27;92;27;{'player_1': 2, 'player_2': 0}
65;49;49;{'player_1': 0, 'player_2': 2}
52;94;52;{'player_1': 2, 'player_2': 0}
92;38;38;{'player_1': 0, 'player_2': 2}
28;11;28;{'player_1': 2, 'player_2': 0}
64;44;64;{'player_1': 2, 'player_2': 0}
23;75;23;{'player_1': 2, 'player_2': 1}
56;68;56;{'player_1': 2, 'player_2': 1}
7;30;30;{'player_1': 0, 'player_2': 2}
75;66;75;{'player_1': 2, 'player_2': 1}
92;72;92;{'player_1': 2, 'player_2': 1}
44;95;44;{'player_1': 2, 'player_2': 1}
99;53;53;{'player_1': 1, 'player_2': 2}
64;75;75;{'player_1': 1, 'player_2': 2}
32;37;32;{'player_1': 2, 'player_2': 1}
60;13;13;{'player_1': 0, 'player_2': 2}
17;35;35;{'player_1': 0, 'player_2': 2}
91;68;91;{'player_1': 2, 'player_2': 0}
82;65;82;{'player_1': 2, 'player_2': 0}
4;57;57;{'player_1': 1, 'player_2': 2}
86;99;99;{'player_1': 0, 'player_2': 2}
99;76;99;{'player_1': 2, 'player_2': 0}
16;75;16;{'player_1': 2, 'player_2': 0}
4;42;4;{'player_1': 2, 'player_2': 0}
35;34;34;{'player_1': 0, 'player_2': 2}
30;25;25;{'player_1': 0, 'player_2': 2}
36;73;73;{'player_1': 1, 'player_2': 2}
95;78;78;{'player_1': 0, 'player_2': 2}
53;19;19;{'player_1': 1, 'player_2': 2}
52;88;88;{'player_1': 1, 'player_2': 2}
96;32;96;{'player_1': 2, 'player_2': 1}
52;60;52;{'player_1': 2, 'player_2': 0}
60;14;14;{'player_1': 0, 'player_2': 2}
66;95;95;{'player_1': 1, 'player_2': 2}
38;60;38;{'player_1': 2, 'player_2': 0}
88;93;93;{'player_1': 0, 'player_2': 2}
51;69;51;{'player_1': 2, 'player_2': 1}
9;15;15;{'player_1': 0, 'player_2': 2}
75;90;90;{'player_1': 1, 'player_2': 2}
6;16;6;{'player_1': 2, 'player_2': 1}
22;87;87;{'player_1': 1, 'player_2': 2}
42;24;42;{'player_1': 2, 'player_2': 0}
51;23;51;{'player_1': 2, 'player_2': 1}
51;32;51;{'player_1': 2, 'player_2': 0}
75;85;85;{'player_1': 1, 'player_2': 2}
61;26;61;{'player_1': 2, 'player_2': 0}
96;81;81;{'player_1': 0, 'player_2': 2}
38;20;38;{'player_1': 2, 'player_2': 0}
35;21;21;{'player_1': 0, 'player_2': 2}
83;19;19;{'player_1': 0, 'player_2': 2}
83;16;83;{'player_1': 2, 'player_2': 0}
23;30;30;{'player_1': 1, 'player_2': 2}
26;57;57;{'player_1': 0, 'player_2': 2}
98;3;98;{'player_1': 2, 'player_2': 0}
88;75;88;{'player_1': 2, 'player_2': 1}
18;51;18;{'player_1': 2, 'player_2': 0}
4;35;4;{'player_1': 2, 'player_2': 1}
75;32;32;{'player_1': 0, 'player_2': 2}
55;12;55;{'player_1': 2, 'player_2': 1}
19;65;19;{'player_1': 2, 'player_2': 0}
97;66;97;{'player_1': 2, 'player_2': 1}
30;35;35;{'player_1': 1, 'player_2': 2}
7;11;7;{'player_1': 2, 'player_2': 1}
96;18;96;{'player_1': 2, 'player_2': 1}
71;79;71;{'player_1': 2, 'player_2': 1}
5;60;60;{'player_1': 1, 'player_2': 2}
41;98;98;{'player_1': 0, 'player_2': 2}
89;40;40;{'player_1': 1, 'player_2': 2}
15;36;15;{'player_1': 2, 'player_2': 0}
36;63;63;{'player_1': 0, 'player_2': 2}
52;36;52;{'player_1': 2, 'player_2': 1}
54;77;77;{'player_1': 1, 'player_2': 2}
80;50;50;{'player_1': 0, 'player_2': 2}
53;49;49;{'player_1': 0, 'player_2': 2}
20;76;76;{'player_1': 0, 'player_2': 2}
37;51;51;{'player_1': 0, 'player_2': 2}
19;8;8;{'player_1': 0, 'player_2': 2}
4;82;4;{'player_1': 2, 'player_2': 1}
63;21;21;{'player_1': 1, 'player_2': 2}
35;91;35;{'player_1': 2, 'player_2': 1}
75;38;75;{'player_1': 2, 'player_2': 1}
99;22;99;{'player_1': 2, 'player_2': 1}
84;91;84;{'player_1': 2, 'player_2': 0}
33;45;45;{'player_1': 1, 'player_2': 2}
43;25;43;{'player_1': 2, 'player_2': 1}
44;17;17;{'player_1': 1, 'player_2': 2}
26;93;93;{'player_1': 1, 'player_2': 2}
18;2;18;{'player_1': 2, 'player_2': 1}
72;56;72;{'player_1': 2, 'player_2': 0}
23;84;84;{'player_1': 0, 'player_2': 2}
13;76;76;{'player_1': 1, 'player_2': 2}
15;71;15;{'player_1': 2, 'player_2': 0}
19;76;76;{'player_1': 0, 'player_2': 2}
15;24;15;{'player_1': 2, 'player_2': 1}
92;40;92;{'player_1': 2, 'player_2': 0}
80;32;80;{'player_1': 2, 'player_2': 1}
48;72;72;{'player_1': 1, 'player_2': 2}
8;17;8;{'player_1': 2, 'player_2': 1}
54;41;41;{'player_1': 0, 'player_2': 2}
34;83;34;{'player_1': 2, 'player_2': 1}
19;57;19;{'player_1': 2, 'player_2': 1}
94;79;94;{'player_1': 2, 'player_2': 1}
70;49;70;{'player_1': 2, 'player_2': 1}
31;67;67;{'player_1': 0, 'player_2': 2}
13;24;24;{'player_1': 1, 'player_2': 2}
75;2;2;{'player_1': 1, 'player_2': 2}
3;89;89;{'player_1': 0, 'player_2': 2}
35;34;34;{'player_1': 0, 'player_2': 2}
97;74;97;{'player_1': 2, 'player_2': 0}
53;57;53;{'player_1': 2, 'player_2': 0}
9;12;12;{'player_1': 0, 'player_2': 2}
55;5;55;{'player_1': 2, 'player_2': 0}
78;26;78;{'player_1': 2, 'player_2': 1}
43;29;43;{'player_1': 2, 'player_2': 1}
7;87;87;{'player_1': 0, 'player_2': 2}
6;12;12;{'player_1': 1, 'player_2': 2}
28;72;72;{'player_1': 0, 'player_2': 2}
44;69;44;{'player_1': 2, 'player_2': 0}
20;68;20;{'player_1': 2, 'player_2': 0}
26;59;59;{'player_1': 1, 'player_2': 2}
41;76;76;{'player_1': 1, 'player_2': 2}
88;92;92;{'player_1': 0, 'player_2': 2}
88;38;38;{'player_1': 0, 'player_2': 2}
34;39;34;{'player_1': 2, 'player_2': 1}
30;2;30;{'player_1': 2, 'player_2': 0}
57;72;57;{'player_1': 2, 'player_2': 0}
42;55;42;{'player_1': 2, 'player_2': 0}
38;95;95;{'player_1': 0, 'player_2': 2}
97;40;40;{'player_1': 0, 'player_2': 2}
28;89;89;{'player_1': 1, 'player_2': 2}
10;75;75;{'player_1': 0, 'player_2': 2}
5;8;8;{'player_1': 0, 'player_2': 2}
38;69;69;{'player_1': 0, 'player_2': 2}
100;5;5;{'player_1': 1, 'player_2': 2}
54;47;54;{'player_1': 2, 'player_2': 1}
25;18;25;{'player_1': 2, 'player_2': 0}
10;99;10;{'player_1': 2, 'player_2': 1}
9;97;97;{'player_1': 1, 'player_2': 2}
34;31;34;{'player_1': 2, 'player_2': 1}
99;47;99;{'player_1': 2, 'player_2': 0}
89;75;89;{'player_1': 2, 'player_2': 1}
87;69;87;{'player_1': 2, 'player_2': 1}
31;60;31;{'player_1': 2, 'player_2': 1}
22;48;48;{'player_1': 0, 'player_2': 2}
65;64;64;{'player_1': 1, 'player_2': 2}
20;46;46;{'player_1': 0, 'player_2': 2}
30;47;47;{'player_1': 0, 'player_2': 2}
71;31;31;{'player_1': 1, 'player_2': 2}
16;77;16;{'player_1': 2, 'player_2': 0}
49;21;49;{'player_1': 2, 'player_2': 1}
80;16;16;{'player_1': 1, 'player_2': 2}
69;21;21;{'player_1': 1, 'player_2': 2}
67;9;9;{'player_1': 1, 'player_2': 2}
35;88;88;{'player_1': 0, 'player_2': 2}
20;69;69;{'player_1': 0, 'player_2': 2}
47;2;47;{'player_1': 2, 'player_2': 1}
7;94;94;{'player_1': 1, 'player_2': 2}
37;7;37;{'player_1': 2, 'player_2': 0}
30;77;77;{'player_1': 0, 'player_2': 2}
75;12;12;{'player_1': 0, 'player_2': 2}
22;46;46;{'player_1': 1, 'player_2': 2}
74;61;74;{'player_1': 2, 'player_2': 0}
35;57;35;{'player_1': 2, 'player_2': 1}
